Stock Id,Nombre de la oportunidad,Fecha y Hora PO,Lugar origen de servicio logístico: Nombre,Transaction Id,Etapa,Fecha de compra,Funnel TAS,SL,Fecha PL,Location PL ,Fecha de creacion ,Fecha finalizacion ,LT creado - finalizado (hrs),On time,Proveedor,Region ,Isoweek compra,Mes recolección,Destino,PL,Ticket,Fecha ticket,Revision de casos,LT solicitado vs comprado,creacion - finalizacion ,Local / interestatal,Agente que realiza la compra: Nombre completo,BULK O TAS,Aging desde Compra,creacion Ticket vs SL Finalizado,Comprado vs finalizado,Fecha publicado,Region origen de servicio logístico,Primera publicacion, Days to published,SLA,DESTINO CORRECTO,Location actual,COST,COST,RUTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488986,GRUPO CONTINENTAL-KIA TLAHUAC,"21/02/2026, 9:26",Aliado - Kia Tlahuac,54959719,Cerrado,21/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,23/2/2026 9:34:00,,48.1,,,Cristian Martinezde,TAS,3.0,,,,,,No published,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
488935,GRUPO GP AUTO-CHIREY INTERLOMAS,"20/02/2026, 20:30",CDMX - Patio Santa Fe,54903470,Cerrado,20/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,No solicitado,,,,,,Alberto Gonzalez,TAS,3.0,,,,CDMX PONIENTE,,No published,,,Santa Fé,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Toluca,
488931,GRUPO PREMIER-BYD CULIACÁN,"20/02/2026, 20:10",Aliado - BYD Culiacán,54990657,Cerrado,20/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,No solicitado,,,,,,GABRIEL ANTONIO VALENZUELA CASTRO,TAS,3.0,,,46073.9,,2026-02-20 20:31:07.994000,0.4,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,
488919,GRUPO PREMIER-CHEVROLET MAZATLÁN,"20/02/2026, 19:43",Aliado - Chevrolet Mazatlán,54965552,Cerrado,20/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,23/2/2026 11:33:51,,63.8,,,Jose Angel Aguilar Avila,TAS,3.0,,,46073.8,,2026-02-20 20:01:18.005000,0.3,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,
488896,GRUPO CONTINENTAL-BYD INTERLOMAS,"20/02/2026, 19:00",EDOMEX - Interlomas,54850871,Cerrado,20/2/2026,Recolectado,Finished,23/2/2026 17:20:33,Santa Fé,21/2/2026 16:37:51,23/2/2026 15:35:09,46.95,On time,Externo,CDMX Poniente,8,2,Santa Fé,,Solicitado,21/2/2026 16:26:12,,21.4,2.9,Local,Juan Nolasco,TAS,3.0,47.1,40.6,46073.8,CDMX PONIENTE,2026-02-20 19:21:09.525000,0.4,,,Santa Fé,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,
488868,GRUPO TOLLOCAN-TOLLOCAN ALIADO,"20/02/2026, 18:19",Aliado - Nissan Metepec,54967018,Cerrado,20/2/2026,Recolectado,Finished,23/2/2026 17:16:11,WH - Lerma 2,23/2/2026 11:54:24,23/2/2026 16:31:28,4.62,On time,Externo,CDMX Poniente,8,2,WH - Lerma 2,,Solicitado,23/2/2026 9:31:37,,63.2,2.9,Local,Cesar Salazar,TAS,3.0,7.0,83.9,,,,No published,,,WH - Lerma 2,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,
488864,GRUPO CONTINENTAL-HYUNDAI PATRIOTISMO,"20/02/2026, 16:19",Aliado - Grupo Continental - Hyundai Patriotismo,54894161,Cerrado,20/2/2026,Recolectado,Finished,23/2/2026 14:55:17,San Angel,21/2/2026 13:03:49,23/2/2026 14:47:07,49.72,On time,Externo,CDMX SUR,8,2,San Angel,,Solicitado,21/2/2026 11:21:09,,19.0,2.9,Local,Omar Islasgomez,TAS,3.0,51.4,37.1,,,,No published,,,San Angel,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Ismo - Chirey Norte,
488802,GRUPO CONTINENTAL-BYD INTERLOMAS,"20/02/2026, 15:22",EDOMEX - Interlomas,54930711,Cerrado,20/2/2026,Recolectado,Finished,23/2/2026 14:20:09,Santa Fé,21/2/2026 16:34:49,23/2/2026 13:42:28,45.13,On time,Externo,CDMX Poniente,8,2,Santa Fé,,Solicitado,21/2/2026 16:22:36,,25.0,2.9,Local,Juan Nolasco,TAS,3.0,45.3,40.6,46073.7,CDMX PONIENTE,2026-02-20 15:41:14.195000,0.3,,,En tránsito,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
488799,GRUPO PREMIER-CHEVROLET CULIACÁN,"20/02/2026, 15:11",Aliado - BYD Culiacán,54928069,Cerrado,20/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,20/2/2026 17:47:52,,2.6,,,GABRIEL ANTONIO VALENZUELA CASTRO,TAS,3.0,,,46073.6,,2026-02-20 15:31:07.310000,0.3,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,
488796,GRUPO PREMIER-KIA CULIACÁN,"20/02/2026, 15:09",Aliado - BYD Culiacán,54867902,Cerrado,20/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,20/2/2026 17:52:32,,2.7,,,GABRIEL ANTONIO VALENZUELA CASTRO,TAS,3.0,,,,,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Ismo - Chirey Norte,
488797,GRUPO GP AUTO-FORD SANTA FE,"20/02/2026, 15:06",CDMX - Patio Santa Fe,54761329,Cerrado,20/2/2026,Recolectado,Finished,Sin PL,Sin PL,23/2/2026 12:12:36,23/2/2026 16:28:05,4.26,On time,Draiver,CDMX Poniente,8,2,Santa Fé,,Solicitado,23/2/2026 9:43:24,,66.6,3.1,Local,Alberto Gonzalez,TAS,3.0,6.7,84.2,46073.6,CDMX PONIENTE,2026-02-20 15:26:07.737000,0.3,,,Santa Fé,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,
488723,GRUPO ANDRADE-BYD ECATEPEC,"20/02/2026, 11:47",Aliado - Changan Zaragoza,54942277,Cerrado,20/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,20/2/2026 15:15:54,,3.5,,,Erick Carlon,TAS,4.0,,,,,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,
488758,GRUPO CONTINENTAL-BYD SANTA FE,"19/02/2026, 18:55",Aliado - Grupo Continental - Gwm Santa Fe,54976232,Cerrado,19/2/2026,Recolectado,Finished,Sin PL,Sin PL,23/2/2026 14:21:51,23/2/2026 17:47:11,3.42,On time,Externo,CDMX Poniente,8,2,Santa Fé,,Solicitado,23/2/2026 13:22:15,,90.5,4.0,Local,Eivar Villegas,TAS,4.0,4.4,110.4,,,,No published,,,Santa Fé,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Tlahuac,
488757,GRUPO CONTINENTAL-HYUNDAI SANTA FE,"19/02/2026, 18:55",Aliado - Grupo Continental - Gwm Santa Fe,54975267,Cerrado,19/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,23/2/2026 13:25:15,,90.5,,,Eivar Villegas,TAS,4.0,,,,,,No published,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
488553,GRUPO CONTINENTAL-HYUNDAI SANTA FE,"19/02/2026, 17:50",Aliado - Grupo Continental - Gwm Santa Fe,54972095,Cerrado,19/2/2026,Recolectado,Finished,23/2/2026 17:42:08,Santa Fé,20/2/2026 10:43:01,20/2/2026 12:55:22,2.21,On time,Externo,CDMX Poniente,8,2,Santa Fé,,Solicitado,20/2/2026 10:23:44,,16.6,0.8,Local,Eivar Villegas,TAS,4.0,2.5,34.7,46072.8,,2026-02-20 12:45:17.044000,18.9,,,Santa Fé,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
488537,GRUPO MEGA-MEGA ALIADO,"19/02/2026, 17:16",Aliado - Nissan Toluca,54818181,Cerrado,19/2/2026,Recolectado,Finished,Sin PL,Sin PL,20/2/2026 8:14:31,20/2/2026 21:44:59,13.51,Late,Draiver,CDMX Poniente,8,2,WH - Lerma 2,,Solicitado,19/2/2026 17:48:38,,0.5,1.2,Local,Josué Cortés,TAS,4.0,27.9,32.2,46072.7,CDMX PONIENTE,2026-02-20 18:55:18.261000,25.7,,,HQ - Lerma 1,503.3974573,2,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,
487689,Rechazo 7 días GRUPO CONTINENTAL-BYD METEPEC,"19/02/2026, 17:14",Aliado - BYD Metepec,54904022,Cerrado,19/2/2026,Recolectado,Finished,21/2/2026 12:46:18,WH - Lerma 2,20/2/2026 10:44:42,20/2/2026 16:42:53,5.97,On time,Draiver,CDMX Poniente,8,2,WH - Lerma 2,,Solicitado,20/2/2026 10:34:26,,17.3,1.0,Local,Arturo Fernández,TAS,4.0,6.1,34.7,,,,No published,,,WH - Lerma 2,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
488529,GRUPO CONTINENTAL-KIA ALIADO,"19/02/2026, 17:01",Aliado - Kia Coapa,54922117,Cerrado,19/2/2026,Recolectado,Finished,23/2/2026 16:37:08,HQ - Lerma 1,20/2/2026 18:28:32,21/2/2026 16:13:02,21.74,On time,Externo,CDMX SUR,8,2,San Angel,,Solicitado,20/2/2026 13:49:26,,20.8,2.0,Local,Cristian Martinezde,TAS,4.0,26.4,42.5,46072.7,CDMX SUR,2026-02-21 16:14:10.901000,47.2,,,HQ - Lerma 1,503.3974573,2,CDMX - CDMX,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Tlahuac,
488527,GRUPO CONTINENTAL-BYD METEPEC,"19/02/2026, 16:59",Aliado - BYD Metepec,54883157,Cerrado,19/2/2026,Recolectado,Finished,21/2/2026 18:09:11,WH - Lerma 2,21/2/2026 10:16:47,21/2/2026 16:54:09,6.62,On time,Kavak,CDMX Poniente,8,2,WH - Lerma 2,,Solicitado,21/2/2026 9:57:37,,41.0,2.0,Local,Arturo Fernández,TAS,4.0,6.9,58.3,,,,No published,,,WH - Lerma 2,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Metepec,
488491,GRUPO CONTINENTAL-KIA ALIADO,"19/02/2026, 15:31",Aliado - Kia Coapa,54917318,Cerrado,19/2/2026,Recolectado,Finished,23/2/2026 18:20:59,San Angel,21/2/2026 10:08:12,23/2/2026 16:04:16,53.93,On time,Externo,CDMX SUR,8,2,San Angel,,Solicitado,21/2/2026 9:42:10,,42.2,4.0,Local,Cristian Martinezde,TAS,4.0,54.4,58.1,,CDMX SUR,,No published,,,San Angel,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Metepec,
488484,GRUPO PREMIER-BYD CULIACÁN,"19/02/2026, 15:08",Aliado - BYD Culiacán,54894493,Cerrado,19/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,20/2/2026 18:01:47,,26.9,,,GABRIEL ANTONIO VALENZUELA CASTRO,TAS,4.0,,,46072.6,,2026-02-19 15:26:13.548000,0.3,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,
488470,GRUPO ISMO-OMODA ALIADO,"19/02/2026, 14:15",Aliado - Grupo Ismo - Chirey Norte,54863538,Cerrado,19/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,No solicitado,,,,,,Victor Elizaldegarcia,TAS,4.0,,,46072.6,,2026-02-19 14:56:10.744000,0.7,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Toluca,
488478,GRUPO CONTINENTAL-HYUNDAI SANTA FE,"19/02/2026, 13:46",Aliado - Grupo Continental - Gwm Santa Fe,54956920,Cerrado,19/2/2026,Recolectado,Finished,23/2/2026 10:35:31,Santa Fé,20/2/2026 10:10:58,20/2/2026 11:50:32,1.66,On time,Externo,CDMX Poniente,8,2,Santa Fé,,Solicitado,20/2/2026 10:06:42,,20.3,0.9,Local,Eivar Villegas,TAS,4.0,1.7,34.2,46072.6,,2026-02-20 11:50:07.772000,22.1,,,Santa Fé,503.3974573,2,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Metepec,
488433,GRUPO CONTINENTAL-KIA COAPA,"19/02/2026, 11:16",Aliado - Kia Coapa,54837038,Cerrado,19/2/2026,Recolectado,Finished,23/2/2026 13:50:11,HQ - Lerma 1,20/2/2026 9:44:47,20/2/2026 16:33:07,6.81,On time,Draiver,CDMX SUR,8,2,San Angel,,Solicitado,20/2/2026 9:41:45,,22.4,1.2,Local,Cristian Martinezde,TAS,5.0,6.9,33.7,46072.5,CDMX SUR,2026-02-20 16:12:08.639000,28.9,,,HQ - Lerma 1,503.3974573,2,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,
488325,GRUPO PREMIER-TOYOTA CULIACÁN,"18/02/2026, 20:35",Aliado - BYD Culiacán,54964067,Cerrado,18/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,20/2/2026 17:58:00,,45.4,,,GABRIEL ANTONIO VALENZUELA CASTRO,TAS,5.0,,,46071.9,,2026-02-18 20:56:04.776000,0.4,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,
488306,GRUPO GP AUTO-FORD POLANCO,"18/02/2026, 19:40",CDMX - Patio Santa Fe,54940534,Cerrado,18/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,23/2/2026 9:05:59,,109.4,,,Alberto Gonzalez,TAS,5.0,,,46075.9,CDMX PONIENTE,2026-02-22 21:32:36.408000,97.9,,,Kavak Antara Fashion Hall,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - BYD Metepec,
488261,GRUPO ISMO-OMODA CAMPESTRE,"18/02/2026, 17:29",Aliado - Grupo Ismo - Chirey Norte,54863612,Cerrado,18/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,No solicitado,,,,,,Victor Elizaldegarcia,TAS,5.0,,,46075.8,,2026-02-22 18:17:07.550000,96.8,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,
488242,GRUPO PREMIER-KIA CULIACÁN,"18/02/2026, 16:45",Aliado - BYD Culiacán,54943444,Cerrado,18/2/2026,Pendiente por recolectar,,Sin PL,Sin PL,,,,,Pendiente por recolectar,,8,2,,,Solicitado,20/2/2026 18:05:19,,49.3,,,GABRIEL ANTONIO VALENZUELA CASTRO,TAS,5.0,,,46071.7,,2026-02-18 17:06:11.943000,0.4,,,Out of Kavak,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Kia Coapa,
488203,GRUPO CONTINENTAL-HYUNDAI METEPEC,"18/02/2026, 15:09",Aliado - BYD Metepec,54930473,Cerrado,18/2/2026,Recolectado,Finished,21/2/2026 9:43:52,WH - Lerma 2,18/2/2026 16:12:36,19/2/2026 11:11:24,18.98,On time,Externo,CDMX Poniente,8,2,WH - Lerma 2,,Solicitado,18/2/2026 16:06:51,,1.0,0.8,Local,Arturo Fernández,TAS,5.0,19.1,16.2,46071.6,,2026-02-19 10:57:10.887000,19.8,,,WH - Lerma 2,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
488201,GRUPO CONTINENTAL-STELLANTIS METEPEC,"18/02/2026, 15:04",Aliado - BYD Metepec,54798703,Cerrado,18/2/2026,Recolectado,Finished,23/2/2026 16:23:46,HQ - Lerma 1,18/2/2026 16:04:27,19/2/2026 16:35:02,24.51,On time,Draiver,CDMX Poniente,8,2,WH - Lerma 2,,Solicitado,18/2/2026 15:16:06,,0.2,1.1,Local,Arturo Fernández,TAS,5.0,25.3,16.1,,,,No published,,,HQ - Lerma 1,503.3974573,2,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Grupo Continental - Gwm Santa Fe,
488193,GRUPO CONTINENTAL-KIA TLAHUAC ALIADO,"18/02/2026, 14:52",Aliado - Kia Tlahuac,54867289,Cerrado,18/2/2026,Recolectado,Finished,23/2/2026 13:24:20,San Angel,20/2/2026 8:26:40,20/2/2026 12:02:47,3.60,On time,Draiver,CDMX SUR,8,2,San Angel,,Solicitado,19/2/2026 21:56:19,,31.1,1.9,Local,Cristian Martinezde,TAS,5.0,14.1,56.4,46075.6,,2026-02-22 15:13:35.969000,96.4,,,San Angel,251.6987286,1,CDMX - CDMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliado - Nissan Metepec,
